Model,Accuracy wihout Outlier Removal,Accuracy with 0.2 threshold Outlier Removal,Accuracy with 0.4 threshold Outlier Removal,Accuracy with 0.6 threshold Outlier Removal,Accuracy with 0.8 threshold Outlier Removal
K Neighbors Classifier,0.6417,0.575,0.6917,0.6917,0.6
Linear Discriminant Analysis,0.5333,0.575,0.6833,0.5917,0.5917
Light Gradient Boosting Machine,0.5333,0.5667,0.6833,0.5667,0.575
Dummy Classifier,0.5333,0.55,0.65,0.55,0.575
Logistic Regression,0.5167,0.55,0.6083,0.5333,0.4917
Gradient Boosting Classifier,0.5167,0.55,0.5667,0.5333,0.4833
Random Forest Classifier,0.5083,0.5417,0.5583,0.5167,0.4833
Quadratic Discriminant Analysis,0.5,0.5333,0.5583,0.5,0.475
Decision Tree Classifier,0.4833,0.5333,0.55,0.4917,0.4583
Ada Boost Classifier,0.4833,0.525,0.5333,0.475,0.45
SVM - Linear Kernel,0.4667,0.4917,0.5333,0.4667,0.425
Naive Bayes,0.4583,0.475,0.4833,0.4583,0.3583
Ridge Classifier,0.4583,0.3917,0.425,0.425,0.35
Extra Trees Classifier,0.4417,0.3833,0.3333,0.3833,0.35
